,Rank,Latency (ms),Country,Speed (Mbps)
0,1,-,Singapore,284.05
1,2,+1,Hong Kong (SAR),271.29
2,3,+1,Chile,270.19
3,4,-2,United Arab Emirates,266.36
4,5,+1,Iceland,253.89
5,6,-1,United States,249.86
6,7,-,France,243.47
7,8,+2,Thailand,232.30
8,9,+2,Denmark,230.25
9,10,-2,China,225.32
10,11,+1,Spain,218.84
11,12,-3,Monaco,216.52
12,13,-,Romania,211.81
13,14,-,Switzerland,204.92
14,15,-,Israel,199.21
15,16,-,Canada,198.17
16,17,-,Japan,197.01
17,18,-,Netherlands,190.96
18,19,+20,Andorra,189.65
19,20,-1,Liechtenstein,188.53
20,21,-,Portugal,180.49
21,22,+1,Taiwan,178.82
22,23,-3,Hungary,178.73
23,24,-,New Zealand,175.06
24,25,-3,Kuwait,169.29
25,26,-,Brazil,161.72
26,27,-,Macau (SAR),159.94
27,28,+2,Sweden,157.12
28,29,-1,Poland,156.44
29,30,-1,Qatar,153.64
30,31,-,Panama,151.79
31,32,+5,Uruguay,149.42
32,33,+3,Colombia,147.21
33,34,-2,Luxembourg,145.24
34,35,-2,Jordan,144.19
35,36,-2,Peru,143.35
36,37,+1,Norway,141.67
37,38,+7,Malaysia,137.12
38,39,-14,South Korea,133.71
39,40,-5,Moldova,129.01
40,41,+2,Finland,121.91
41,42,-1,Trinidad and Tobago,120.46
42,43,+4,Vietnam,120.32
43,44,-4,Lithuania,119.10
44,45,-3,Ireland,116.73
45,46,-2,Malta,115.95
46,47,+3,Saint Lucia,111.10
47,48,-2,Saudi Arabia,110.04
48,49,-1,United Kingdom,106.54
49,50,+1,Belgium,99.33
50,51,+2,Austria,98.43
51,52,-3,San Marino,95.50
52,53,+13,Barbados,94.68
53,54,-2,Philippines,94.19
54,55,+4,Saint Vincent and the Grenadines,94.17
55,56,-2,Slovenia,93.75
56,57,-1,Costa Rica,93.62
57,58,+3,Ecuador,93.39
58,59,-2,Latvia,93.22
59,60,-2,Germany,91.42
60,61,+1,Paraguay,90.85
61,62,+5,Grenada,89.17
62,63,-8,Dominica,88.66
63,64,-4,Cyprus,88.08
64,65,+4,Estonia,88.06
65,66,-1,Russia,87.73
66,67,-4,Bahrain,86.49
67,68,+7,Slovakia,85.47
68,69,+4,Argentina,84.20
69,70,-6,Montenegro,83.34
70,71,+1,Bulgaria,83.14
71,72,-2,Serbia,83.11
72,73,-2,Italy,81.88
73,74,-,Brunei,80.13
74,75,-7,Guyana,79.75
75,76,-,Ukraine,79.48
76,77,+2,Jamaica,77.27
77,78,+8,Egypt,76.86
78,79,-2,Kosovo,72.31
79,80,-,Czechia,71.09
80,81,+10,Oman,70.96
81,82,+1,Mongolia,70.91
82,83,-1,Côte d'Ivoire,69.50
83,84,-6,Croatia,69.24
84,85,+4,Mexico,66.71
85,86,-5,The Bahamas,66.58
86,87,-2,Palestine,66.47
87,88,-4,Nepal,65.84
88,89,+1,Uzbekistan,64.50
89,90,+2,India,64.45
90,91,-4,Belarus,63.45
