,Rank,Latency (ms),Country,Speed (Mbps)
0,1,-,Qatar,314.78
1,2,-,United Arab Emirates,278.88
2,3,-,Kuwait,228.96
3,4,-,Iceland,169.80
4,5,+1,Denmark,151.29
5,6,+7,Norway,151.04
6,7,-2,South Korea,150.25
7,8,+2,Macau (SAR),142.15
8,9,-2,China,133.75
9,10,-2,Netherlands,130.61
10,11,-2,United States,125.14
11,12,-,Bahrain,117.74
12,13,-2,Saudi Arabia,117.12
13,14,+5,Finland,111.87
14,15,+1,India,104.15
15,16,-2,Lithuania,104.06
16,17,-,Brunei,102.41
17,18,+2,Sweden,101.48
18,19,+4,Singapore,101.43
19,20,-5,Bulgaria,100.95
20,21,+4,Estonia,100.74
21,22,-1,Croatia,100.39
22,23,+1,Luxembourg,98.69
23,24,-6,Canada,97.82
24,25,-3,France,96.62
25,26,-,Switzerland,95.48
26,27,+3,Portugal,93.15
27,28,-1,Malaysia,91.69
28,29,+2,Australia,91.29
29,30,-2,Latvia,90.06
30,31,-2,North Macedonia,89.73
31,32,-,Maldives,88.35
32,33,-,Austria,86.70
33,34,+4,Greece,86.44
34,35,+5,Czechia,82.40
35,36,-2,Taiwan,80.81
36,37,-,Belgium,78.82
37,38,+1,Oman,76.92
38,39,-4,Malta,76.86
39,40,-4,Slovenia,74.73
40,41,+8,Mauritius,70.55
41,42,-,New Zealand,69.49
42,43,+2,Cyprus,65.58
43,44,-3,Uruguay,63.67
44,45,+2,Poland,61.29
45,46,-2,Romania,60.88
46,47,-4,Hong Kong (SAR),60.46
47,48,+2,Brazil,59.53
48,49,-3,Montenegro,58.58
49,50,-2,Germany,58.50
50,51,-,United Kingdom,55.01
51,52,-,Slovakia,54.75
52,53,+5,Hungary,52.49
53,54,-1,Serbia,51.44
54,55,-,Italy,51.42
55,56,+7,Suriname,51.28
56,57,-3,Albania,50.88
57,58,+1,Vietnam,50.88
58,59,-2,South Africa,50.70
59,60,+1,Spain,49.97
60,61,-5,Azerbaijan,49.62
61,62,-2,Japan,46.46
62,63,+3,Botswana,45.94
63,64,-,Thailand,45.05
64,65,+14,Zimbabwe,44.68
65,66,+4,Kazakhstan,43.62
66,67,-2,Israel,43.33
67,68,-1,Morocco,42.58
68,69,-,Georgia,41.65
69,70,-2,Kosovo,41.34
70,71,+1,Turkey,40.42
71,72,+2,Ireland,40.36
72,73,-,Chile,37.98
73,73,+5,Senegal,37.98
74,75,+5,Moldova,35.98
75,76,-1,Iran,35.66
76,77,-,Lebanon,33.77
77,78,+4,Guatemala,32.92
78,79,+5,Philippines,32.37
79,80,+6,Costa Rica,31.30
80,81,+4,Iraq,31.27
81,82,+15,Jamaica,31.12
82,83,-2,Ethiopia,31.09
83,84,+7,Honduras,30.64
84,85,+9,Uganda,30.14
85,86,+30,Guyana,30.09
86,87,-4,Trinidad and Tobago,29.97
87,88,+5,Uzbekistan,29.93
88,89,-,Armenia,29.57
89,90,-3,Kyrgyzstan,29.38
90,91,+5,Argentina,28.76
91,92,+13,Laos,28.24
92,93,-5,El Salvador,28.16
93,94,+1,Mexico,28.14
94,95,+19,Fiji,27.83
95,96,-6,Dominican Republic,27.05
96,97,-26,Côte d'Ivoire,26.72
97,98,+5,Indonesia,26.66
98,99,+2,Tunisia,26.56
99,100,+2,Ukraine,26.13
100,101,+6,Jordan,26.05
101,102,+2,Myanmar (Burma),26.01
102,103,+5,Cambodia,25.69
103,104,-5,Egypt,25.66
104,105,+6,Russia,25.04
105,106,+4,Tanzania,24.83
106,107,+2,Algeria,24.64
107,108,+5,Kenya,24.60
108,109,+6,Namibia,23.88
109,110,+2,Bangladesh,23.83
110,111,-13,Nigeria,23.64
111,112,-6,Bosnia and Herzegovina,23.27
112,113,+6,Somalia,22.51
113,114,+4,Rwanda,20.87
114,115,-15,Ecuador,20.80
115,116,+10,Peru,19.30
116,117,-,Zambia,18.97
117,118,+4,Colombia,18.89
118,119,+9,DR Congo,18.89
119,120,-,Panama,18.85
120,121,+6,Pakistan,18.56
121,122,+1,Sri Lanka,18.53
122,123,+1,Paraguay,18.31
123,124,+1,Papua New Guinea,17.64
124,125,+4,Mozambique,17.44
125,126,-5,Ghana,16.11
126,127,+6,Nicaragua,15.66
127,128,+3,Angola,15.23
128,129,+1,Libya,15.13
129,130,+5,Mongolia,14.23
130,131,+5,Nepal,14.08
131,132,+5,Syria,13.87
132,133,-1,Cameroon,13.72
133,134,+5,Belize,11.96
134,135,+6,Sudan,11.79
135,136,+4,Venezuela,11.66
136,137,+1,Belarus,11.50
137,138,+4,Bolivia,10.24
138,139,+4,Haiti,10.09
139,140,+4,Tajikistan,6.90
140,141,+4,Afghanistan,6.14
141,142,+4,Yemen,5.44
142,143,+4,East Timor,5.35
143,144,+4,Cuba,4.15
